"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C22","SMD_0603_CAPC1608X95N","10.1mm","2.65mm","10.1mm","2.65mm","10.9mm","2.65mm","B","180.00","33pF"
"C18","SMD_0603_CAPC1608X95N","13.2mm","2.65mm","13.2mm","2.65mm","14mm","2.65mm","B","180.00","33pF"
"C14","SMD_0603_CAPC1608X95N","16.3mm","2.65mm","16.3mm","2.65mm","17.1mm","2.65mm","B","180.00","33pF"
"C20","SMD_0603_CAPC1608X95N","10.1mm","1.15mm","10.1mm","1.15mm","10.9mm","1.15mm","B","180.00","33pF"
"C16","SMD_0603_CAPC1608X95N","13.2mm","1.15mm","13.2mm","1.15mm","14mm","1.15mm","B","180.00","33pF"
"C12","SMD_0603_CAPC1608X95N","16.3mm","1.15mm","16.3mm","1.15mm","17.1mm","1.15mm","B","180.00","33pF"
"C3","SMD_0603_CAPC1608X95N","16.3mm","4.175mm","16.3mm","4.175mm","15.5mm","4.175mm","B","360.00","1uF"
"J1","SMD_CON_MICRO_USB","25.3mm","2.775mm","25.3mm","4.1mm","24mm","4.1mm","T","270.00","ATTEND 207A-BBA0-R"
"J5","PTH_HDRV02W64P254_1X02","33.05mm","3.1mm","33.05mm","3.1mm","33.05mm","1.83mm","B","90.00","CON_2PINS"
"R3","SMD_0603_RESC1608X55N","28.075mm","7.05mm","28.075mm","7.05mm","28.075mm","6.25mm","B","90.00","2k"
"C8","SMD_0603_CAPC1608X95N","30.375mm","7.725mm","30.375mm","7.725mm","29.575mm","7.725mm","B","360.00","100nF"
"J4","SIP5_-_PGM","28.075mm","14.45mm","28.075mm","14.45mm","28.075mm","9.375mm","T","90.00","CON_5PINS"
"U5","SMD_SOT26_SOT95P285X140-5N_-_DLV","9.125mm","1.8mm","9.125mm","1.8mm","10.425mm","0.85mm","T","180.00","BU33TD3WG"
"C5","SMD_0603_CAPC1608X95N","8.5mm","4.175mm","8.5mm","4.175mm","7.7mm","4.175mm","B","360.00","4.7uF"
"C4","SMD_0603_CAPC1608X95N","26.45mm","9.8mm","26.45mm","9.8mm","26.45mm","10.6mm","B","270.00","4.7uF"
"C2","SMD_0603_CAPC1608X95N","8.5mm","5.675mm","8.5mm","5.675mm","7.7mm","5.675mm","B","360.00","1uF"
"U4","SMD_SOT26_SOT95P285X140-5N_-_DLV","16.975mm","2.325mm","16.975mm","2.325mm","17.925mm","3.625mm","T","270.00","MCP73811 450mA"
"U1","SMD_MOD_L80_SOIC254P1600X1600-12N_-_NO_UNUSED_PINS","25.775mm","14.275mm","25.275mm","14.275mm","19.425mm","6.775mm","T","90.00","QUECTEL_L80 / L86"
"J3","SMD_CON-WURTH_MICRO_SIM_693021010811","9.1mm","15mm","9.1mm","7.125mm","12.35mm","7.625mm","B","360.00","MICRO SIM"
"U3","SMD_MOD_M66-44N_-_NO_UNUSED_PINS","9.1mm","13.4mm","9.1mm","13.4mm","8mm","21.75mm","T","180.00","QUECTEL_M66"
"J2","PTH_MIC_6MM_2.7MM_PITCH1.9","13.2mm","2.1mm","13.2mm","3mm","14.15mm","2.2mm","T","180.00","CON_2PINS"
"U2","SMD_QFN65P600X600X100-29AN","21.6mm","9.8mm","21.6mm","9.8mm","24.6mm","11.75mm","B","180.00","PIC18F27J53_QFN"
"U6","SMD_MOD_L76_SOIC110P970X1010-18N_-_NO_UNUSED_PINS","25.175mm","14.1999mm","25.175mm","14.1999mm","20.325mm","18.5999mm","T","360.00","QUECTEL_L76"
"C1","SMD_0603_CAPC1608X95N","19.85mm","20.275mm","19.85mm","20.275mm","19.05mm","20.275mm","B","360.00","1uF"
"R1","SMD_0603_RESC1608X55N","24.55mm","4.2501mm","24.55mm","4.2501mm","24.55mm","5.0501mm","B","270.00","20k"
"R2","SMD_0603_RESC1608X55N","26.05mm","4.2501mm","26.05mm","4.2501mm","26.05mm","3.4501mm","B","90.00","20k"
"R4","SMD_0603_RESC1608X55N","17.1mm","6.425mm","17.1mm","6.425mm","17.1mm","5.625mm","B","90.00","20k"

