"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D1","SMD_SOT23_SOT95P240X120-3N","21.7679mm","26.2034mm","21.7679mm","26.2034mm","20.6179mm","27.1534mm","T","360.00","D_A1C3"
"C13","SMD_0603_CAPC1608X95N","46mm","1.4307mm","46mm","1.4307mm","46mm","2.2307mm","T","270.00","1uF"
"J27","SMD_CON_MICRO_USB_STRAIGHT","9.65mm","0mm","9.65mm","0mm","8.35mm","0mm","T","90.00","ATTEND 207A-BBA0-R"
"J23","SMD_CON_MICRO_USB_STRAIGHT","9.65mm","-0.9125mm","9.65mm","0mm","10.95mm","0mm","B","90.00","ATTEND 207A-BBA0-R"
"J4","PTH_HDRV02W11060P350_1X02","-1mm","9mm","-1mm","9mm","-1mm","7.25mm","B","90.00","CON_2PINS"
"R17","SMD_0603_RESC1608X55N","13.2679mm","5.6902mm","13.2679mm","5.6902mm","12.4679mm","5.6902mm","T","360.00","0"
"R16","SMD_0603_RESC1608X55N","12.5179mm","6.4402mm","12.5179mm","6.4402mm","12.5179mm","5.6402mm","T","90.00","0"
"R15","SMD_0603_RESC1608X55N","14.0179mm","6.4402mm","14.0179mm","6.4402mm","14.0179mm","7.2402mm","T","270.00","0"
"R14","SMD_0603_RESC1608X55N","13.2679mm","7.1902mm","13.2679mm","7.1902mm","14.0679mm","7.1902mm","T","180.00","0"
"R13","SMD_0402_RESC1005X37N","51.5mm","32.6mm","51.5mm","32.6mm","51.94mm","32.6mm","T","180.00","0"
"J25","PTH_HDRV03W64P254_1X03","36mm","-3mm","36mm","-3mm","33.46mm","-3mm","T","360.00","CON_3PINS"
"J14","PTH_MOUNT_HOLE","51mm","0mm","51mm","0mm","51mm","0mm","T","0.00","CON_1PIN"
"J16","PTH_MOUNT_HOLE","0mm","40mm","0mm","40mm","0mm","40mm","T","0.00","CON_1PIN"
"J17","PTH_MOUNT_HOLE","0mm","0mm","0mm","0mm","0mm","0mm","T","0.00","CON_1PIN"
"A2","SMD_CON_ANTENNA_SMA_RIGHT_ANGLE","51mm","40mm","51mm","40mm","51mm","40mm","B","270.00","SMA"
"A1","SMD_CON_ANTENNA_UFL","45.66mm","32.6mm","46.41mm","32.6mm","44.91mm","32.6mm","T","270.00","UFL"
"J11","PTH_LED-KINGBRIGHT-L-934SGC","44.2751mm","28.0284mm","44.2751mm","28.0284mm","44.2751mm","29.2784mm","B","270.00","LED_YELLOW_GREEN"
"U2","SMD_SOT26_SOT95P285X140-5N_-_DLV","29.4536mm","39mm","29.4536mm","39mm","28.5036mm","37.7mm","T","90.00","MCP73811 450mA"
"U3","SMD_MOD_M66-44N","34.525mm","26mm","34.525mm","26mm","27.125mm","32.6mm","T","360.00","QUECTEL_M66"
"J12","PTH_HDRV02W64P254_1X02_BATTERY","42mm","38.7262mm","42mm","38.7262mm","43.27mm","38.7262mm","B","180.00","DW02S"
"J19","SMD_CON-CVILUX-CU04-SCM15B0","9.65mm","-0.2mm","9.65mm","0mm","8.05mm","2.6mm","T","360.00","ATTEND 207A-BBA0-R"
"J18","SMD_CON_MICRO_USB","9.65mm","-1.75mm","9.65mm","-0.425mm","8.35mm","-0.425mm","T","270.00","ATTEND 207A-BBA0-R"
"J26","SMD_CON-ATTEND_SIM_115B-AAA0-R01","31.9mm","7mm","24mm","13mm","44.5mm","10.81mm","T","180.00","GSM SIMH"
"A3","SMD_CON_ANTENNA_GSM_PCB_1","50.25mm","30mm","52mm","30.6mm","52mm","28.6mm","T","270.00","PCB"
"J21","SMD_CON_MICRO_USB","9.65mm","-1.75mm","9.65mm","-0.425mm","10.95mm","-0.425mm","B","270.00","ATTEND 207A-BBA0-R"
